> mm3
[info] Compiling 3 Scala sources to /Documents/EPFL/MasterProj/lamp-dp-mt/target/scala-2.10/classes...
[make] libRNA.jnilib up to date.
[make] RNAfold up to date.
[info] Running v4.examples.MatrixMultGen3
[info] ====( CUDA warm-up )==============================================
[info] Analysis             : 0.008 sec
[info] Code generation      : 0.060 sec
[info] Size / splits        : 1024 x 1024 / 1
[info] C/CUDA compilation   : 1.775 sec
[info] Scala compilation    : 2.199 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,027 sec
[info] - CUDA compute       : 0,560 sec
[info] - CUDA backtrack     : 0,008 sec
[info] - JNI output         : 0,007 sec
[info] Execution            : 0.608 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,435 sec
[info] - CUDA backtrack     : 0,007 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.471 sec
[info] ====( CUDA )======================================================
[info] ---- Size = 128 ----------------
[info] Size / splits        : 128 x 128 / 1
[info] C/CUDA compilation   : 1.750 sec
[info] Scala compilation    : 0.170 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.030 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.028 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.029 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.027 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.026 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.027 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.028 sec
